Dataset Intensity Statistics Report
Source: /data/hwh_data_folder/dataset/train
Config: FreqRes=5kHz, Overlap=0.5
--------------------------------------------------
File_ID    | Min_dB          | Max_dB         
206        | -120.32         | 7.96           
207        | -111.67         | 6.65           
208        | -109.84         | -7.01          
209        | -78.59          | 19.48          
210        | -125.02         | -17.19         
211        | -114.04         | 0.38           
212        | -95.68          | -7.59          
213        | -97.48          | 11.00          
214        | -113.45         | -1.32          
215        | -108.50         | 0.86           
216        | -99.57          | 2.14           
217        | -91.82          | 10.39          
218        | -76.89          | 23.82          
219        | -102.65         | -11.13         
220        | -118.89         | 2.76           
221        | -126.45         | 8.83           
222        | -120.24         | 0.62           
223        | -109.90         | 4.74           
224        | -123.46         | -3.21          
225        | -106.50         | 14.66          
226        | -111.99         | -0.24          
227        | -97.92          | 4.91           
228        | -96.50          | 4.48           
229        | -105.23         | 9.29           
230        | -85.97          | 14.11          
231        | -103.04         | 2.17           
232        | -128.23         | 3.75           
233        | -124.60         | 8.15           
234        | -106.97         | -7.01          
235        | -88.65          | 14.11          
236        | -110.79         | 6.36           
237        | -106.18         | -9.36          
238        | -109.28         | 5.35           
239        | -95.69          | 8.85           
240        | -104.36         | 9.75           
241        | -84.83          | 16.65          
242        | -119.95         | -0.25          
243        | -75.93          | 7.98           
244        | -86.11          | 14.17          
245        | -123.50         | 10.26          
246        | -102.68         | 4.10           
247        | -103.41         | -13.25         
248        | -80.95          | 28.72          
249        | -122.16         | 3.65           
250        | -118.63         | 9.08           
251        | -85.68          | 20.75          
252        | -99.65          | 9.98           
253        | -108.44         | -10.73         
254        | -134.32         | -11.15         
255        | -98.75          | 10.88          
256        | -98.17          | -14.56         
257        | -90.50          | 13.54          
258        | -100.48         | 0.52           
259        | -106.32         | 8.26           
260        | -122.71         | -16.94         
261        | -96.08          | -9.00          
262        | -83.23          | 22.88          
263        | -104.49         | 2.04           
264        | -109.96         | 6.78           
265        | -121.46         | -2.30          
266        | -75.29          | 19.43          
267        | -95.21          | -1.69          
268        | -95.37          | -8.58          
269        | -107.56         | -1.70          
270        | -77.46          | 25.13          
271        | -77.11          | 11.58          
272        | -103.58         | 11.44          
273        | -92.03          | 13.75          
274        | -120.73         | -8.68          
